Fid,pid,ptime,date_time,src_ip_address,dst_ip_address,frame_protos,src_port,dst_port,sbytes,dbytes,uid,Label
10.42.0.42-123.125.115.164-53657-443-6,44090362,32:58.1,2022-12-16 03:43:13+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
172.217.3.106-10.42.0.211-443-45781-6,44090364,32:58.1,2022-12-16 03:43:28+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
10.42.0.211-10.42.0.1-39929-53-17,44090365,32:58.1,2022-12-16 03:43:54+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.151-10.42.0.1-62969-53-17,44090366,32:58.1,2022-12-16 03:44:03+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.42-108.174.10.10-42175-80-6,44090367,32:58.1,2022-12-16 03:44:10+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.151-74.125.192.188-41300-5228-6,44090371,32:58.1,2022-12-16 03:44:19+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,1188,CSgYjR3XciAUhHRFS5,0
10.42.0.1-10.42.0.42-53-8204-17,44090372,32:58.1,2022-12-16 04:46:00+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,1188,CSgYjR3XciAUhHRFS5,0
10.42.0.1-10.42.0.42-53-43920-17,44090419,32:58.1,2022-12-16 04:48:24+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.211-64.71.142.124-48549-80-6,44090420,32:58.1,2022-12-16 05:01:30+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
174.35.73.107-10.42.0.211-80-50234-6,44090421,32:58.1,2022-12-16 05:04:48+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.211-123.125.29.138-47895-443-6,44090422,32:58.1,2022-12-16 05:04:57+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
10.42.0.211-10.42.0.1-5240-53-17,44090423,32:58.1,2022-12-16 05:08:33+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
10.42.0.211-104.192.110.245-33806-80-6,44090425,32:58.1,2022-12-16 05:08:18+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
205.185.216.42-10.42.0.211-80-54979-6,44090426,32:58.1,2022-12-16 05:15:42+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
10.42.0.151-10.42.0.1-57605-53-17,44090427,32:58.1,2022-12-16 05:23:55+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1208,CSgYjR3XciAUhHRFS5,0
10.42.0.1-10.42.0.42-53-61281-17,44090428,32:58.1,2022-12-16 05:24:00+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,10148,CSgYjR3XciAUhHRFS5,0
10.42.0.211-66.198.178.50-46621-443-6,44090432,32:58.1,2022-12-16 05:24:00+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
172.217.10.42-10.42.0.42-443-33806-6,44090433,32:58.1,2022-12-16 05:24:30+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.211-119.146.74.33-47233-443-6,44090434,32:58.1,2022-12-16 05:25:09+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.1-10.42.0.42-53-63605-17,44090509,32:58.2,2022-12-16 05:25:42+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
203.205.179.172-10.42.0.151-80-44275-6,44090510,32:58.2,2022-12-16 05:33:51+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
172.217.10.129-10.42.0.211-443-41077-6,44090512,32:58.2,2022-12-16 05:33:53+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
10.42.0.211-52.192.237.93-58963-443-6,44090513,32:58.2,2022-12-16 05:35:49+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
10.42.0.211-121.12.98.62-55446-80-6,44090514,32:58.2,2022-12-16 05:37:28+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
10.42.0.151-120.37.140.227-39426-80-6,44090515,32:58.2,2022-12-16 05:38:53+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
202.77.129.150-10.42.0.42-443-47760-6,44090517,32:58.2,2022-12-16 05:39:08+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
202.77.129.150-10.42.0.211-80-50646-6,44090518,32:58.2,2022-12-16 05:40:01+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
202.77.129.150-10.42.0.151-80-51630-6,44090519,32:58.2,2022-12-16 05:40:42+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,1008,CSgYjR3XciAUhHRFS5,0
202.77.129.150-10.42.0.211-80-37112-6,44090520,32:58.2,2022-12-16 05:41:48+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,504,CSgYjR3XciAUhHRFS5,1
205.204.101.182-10.42.0.211-443-41354-6,44090593,32:58.3,2022-12-16 05:42:05+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
10.42.0.211-77.234.44.42-59214-80-6,44090594,32:58.3,2022-12-16 05:42:31+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
202.77.129.161-10.42.0.211-80-45708-6,44090596,32:58.3,2022-12-16 05:42:49+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.211-104.192.110.245-52526-80-6,44090603,32:58.3,2022-12-16 05:42:54+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
220.181.7.190-10.42.0.211-443-39145-6,44090604,32:58.3,2022-12-16 05:43:20+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.42-52.85.101.205-33241-443-6,44090607,32:58.3,2022-12-16 05:43:44+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
10.42.0.211-66.198.24.250-44109-443-6,44090611,32:58.3,2022-12-16 05:44:06+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.211-64.71.142.124-51714-80-6,44090612,32:58.3,2022-12-16 05:44:16+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
172.217.10.238-10.42.0.211-443-43230-6,44090621,32:58.3,2022-12-16 05:44:44+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
172.217.10.141-10.42.0.151-443-35907-6,44090622,32:58.3,2022-12-16 05:45:35+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
10.42.0.211-123.125.29.220-46049-80-6,44090623,32:58.3,2022-12-16 06:13:46+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.151-119.146.74.49-36549-443-6,44090911,32:58.3,2022-12-16 06:13:46+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
203.130.53.126-10.42.0.211-80-54289-6,44090912,32:58.3,2022-12-16 06:13:57+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.151-23.23.113.248-37800-443-6,44090913,32:58.3,2022-12-16 06:14:56+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
10.42.0.211-123.125.29.220-56011-80-6,44090914,32:58.3,2022-12-16 06:16:25+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
172.217.3.110-10.42.0.151-443-52805-6,44090916,32:58.3,2022-12-16 06:17:13+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.151-23.99.112.73-50411-443-6,44090919,32:58.3,2022-12-16 06:23:34+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
180.149.153.234-10.42.0.42-80-32871-6,44090920,32:58.3,2022-12-16 06:23:48+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
192.229.173.136-10.42.0.151-443-42678-6,44090921,32:58.3,2022-12-16 06:23:58+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.211-66.198.24.253-53995-80-6,44090922,32:58.3,2022-12-16 06:26:03+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
10.42.0.211-104.244.43.3-43901-443-6,44090928,32:58.3,2022-12-16 06:28:06+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,504,CSgYjR3XciAUhHRFS5,0
10.42.0.42-72.21.207.148-33939-443-6,44090977,32:58.4,2022-12-16 06:28:26+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
10.42.0.151-10.42.0.1-44666-53-17,44090978,32:58.4,2022-12-16 06:28:56+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.211-10.42.0.1-14200-53-17,44090979,32:58.4,2022-12-16 06:30:25+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,CSgYjR3XciAUhHRFS5,1
10.42.0.211-10.42.0.1-21107-53-17,44090980,32:58.4,2022-12-16 06:32:32+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
172.217.6.234-10.42.0.151-443-53504-6,44090981,32:58.4,2022-12-16 06:32:54+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
10.42.0.211-66.231.239.122-39581-80-6,44090983,32:58.4,2022-12-16 06:34:11+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
172.217.10.14-10.42.0.211-443-48206-6,44090984,32:58.4,2022-12-16 06:34:17+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
174.129.32.118-10.42.0.211-443-43901-6,44090985,32:58.4,2022-12-16 07:20:11+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
182.22.31.124-10.42.0.151-80-53917-6,44090986,32:58.4,2022-12-16 07:20:12+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
172.217.11.33-10.42.0.42-443-59148-6,44090988,32:58.4,2022-12-16 07:21:45+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
10.42.0.211-10.42.0.1-16259-53-17,44090989,32:58.4,2022-12-16 07:22:56+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,504,CSgYjR3XciAUhHRFS5,1
203.130.53.126-10.42.0.211-80-39062-6,44090990,32:58.4,2022-12-16 07:24:06+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,504,CSgYjR3XciAUhHRFS5,1
192.229.163.180-10.42.0.211-443-36525-6,44091036,32:58.4,2022-12-16 07:24:05+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,0
183.79.250.123-10.42.0.211-443-60631-6,44091037,32:58.4,2022-12-16 07:24:49+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
10.42.0.211-10.42.0.1-62401-53-17,44091038,32:58.4,2022-12-16 07:25:12+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
10.42.0.211-10.42.0.1-33034-53-17,44091039,32:58.4,2022-12-16 07:25:14+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
220.243.205.152-10.42.0.211-80-43948-6,44091040,32:58.4,2022-12-16 07:26:04+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
182.22.67.89-10.42.0.42-443-34076-6,44091042,32:58.4,2022-12-16 07:41:04+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
172.217.6.195-10.42.0.42-443-38496-6,44091043,32:58.4,2022-12-16 07:41:19+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
239.255.255.250-10.42.0.1-1900-39984-17,44091044,32:58.4,2022-12-16 07:42:26+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
174.35.73.77-10.42.0.211-80-58291-6,44091045,32:58.4,2022-12-16 07:48:02+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,1008,CSgYjR3XciAUhHRFS5,1
10.42.0.151-104.192.108.27-49588-80-6,44091223,32:58.6,2022-12-16 08:37:06+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,362,504,CSgYjR3XciAUhHRFS5,0
209.10.120.26-10.42.0.211-80-47577-6,44091224,32:58.6,2022-12-16 08:39:40+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,362,504,CSgYjR3XciAUhHRFS5,1
10.42.0.211-64.71.142.124-43098-443-6,44091229,32:58.6,2022-12-16 08:39:43+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
10.42.0.42-106.11.94.1-38017-443-6,44091231,32:58.6,2022-12-16 08:52:48+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
182.22.24.252-10.42.0.151-443-38576-6,44091232,32:58.6,2022-12-16 09:05:17+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1008,CSgYjR3XciAUhHRFS5,1
198.105.244.11-10.42.0.211-80-56507-6,44091233,32:58.6,2022-12-16 09:07:22+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,840,CSgYjR3XciAUhHRFS5,0
172.217.11.10-10.42.0.151-443-54034-6,44091234,32:58.6,2022-12-16 09:09:17+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,420,CSgYjR3XciAUhHRFS5,1
10.42.0.211-10.42.0.1-45813-53-17,44091235,32:58.6,2022-12-16 09:19:35+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
172.217.11.36-10.42.0.42-443-56565-6,44091236,32:58.6,2022-12-16 09:19:43+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,956,CSgYjR3XciAUhHRFS5,0
10.42.0.211-64.34.226.94-47188-443-6,44091237,32:58.6,2022-12-16 09:42:18+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,1
10.42.0.211-10.42.0.1-63344-53-17,44091238,32:58.6,2022-12-16 09:48:24+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,504,CSgYjR3XciAUhHRFS5,0
192.229.173.173-10.42.0.211-443-45656-6,44091245,32:58.6,2022-12-16 10:34:47+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,420,CSgYjR3XciAUhHRFS5,0
172.217.9.227-10.42.0.151-443-40005-6,44091246,32:58.6,2022-12-16 10:37:01+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,892,CSgYjR3XciAUhHRFS5,0
182.22.120.252-10.42.0.151-443-43856-6,44091247,32:58.6,2022-12-16 10:37:03+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,354,504,CSgYjR3XciAUhHRFS5,1
10.42.0.151-10.42.0.1-9104-53-17,44091248,32:58.6,2022-12-16 10:37:27+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,354,892,CSgYjR3XciAUhHRFS5,0
10.42.0.211-115.239.210.141-38386-80-6,44091271,32:58.7,2022-12-16 10:38:23+09,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,420,CSgYjR3XciAUhHRFS5,1
